Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
-0.6615,-4.01711,0.9773,0.0,1.0,1.4231,1.42694,-0.00312,0.0283,8689.396,8963.27734
-2.07205,-5.35822,0.97494,-0.0,1.0,1.4281,1.42886,-0.00226,-0.23453,36313.332,30300.90234
-2.0333,-6.05423,0.93054,-0.0,1.0,1.4303,1.43204,-0.00149,-0.00682,37923.168,39341.05469
-2.7253,-6.256,0.99068,0.0,1.0,1.4336,1.43497,-0.00246,0.12638,59546.453,62655.5625
-1.04218,-3.80217,0.96688,0.0,1.0,1.4368,1.43789,-0.00275,-0.17454,15327.084,13330.81641
-2.37148,-6.30506,0.95726,0.0,1.0,1.4383,1.43843,-0.00305,-0.08141,53585.49,48149.45312
-1.23365,-3.90604,0.9904,-0.0,1.0,1.4386,1.43957,-0.00473,-0.08896,13364.122,12817.44922
-1.96631,-5.18181,0.98888,-0.0,1.0,1.4405,1.44149,-0.00727,0.07713,31416.068,34717.38281
-1.83362,-4.34126,0.983,-0.0,1.0,1.4415,1.44174,-0.00811,0.09879,26004.562,27728.55469
-0.91975,-3.32831,0.97907,-0.0,1.0,1.4425,1.44132,-0.00933,0.17032,8345.464,9241.00977
-0.15166,-1.19352,0.98641,0.0,1.0,1.4434,1.44529,-0.00357,0.07293,401.58685,395.8269
-0.18054,-2.89598,0.98716,0.0,1.0,1.4474,1.44892,-0.00404,-0.07838,348.84885,322.73831
-2.62597,-8.91543,0.99108,-0.0,1.0,1.4459,1.44259,-0.01583,-0.03738,76622.51,73509.78125
-0.9354,-5.09217,0.98808,-0.0,1.0,1.4399,1.43682,-0.00614,-0.01321,13473.593,11794.49023
0.03361,-2.66012,0.99188,-0.0,1.0,1.4397,1.44152,-0.00533,0.10497,1646.1315,1885.66235
-1.21004,-4.86116,0.98346,-0.0,1.0,1.4414,1.43976,-0.01093,-0.03883,11361.264,10488.37988
-0.23197,-4.11744,0.98778,-0.0,1.0,1.4409,1.44155,-0.01482,0.06831,3648.1748,3887.50562
-0.08812,-2.33536,0.98668,0.0,1.0,1.4421,1.44263,-0.00478,-0.09536,1111.0923,1035.44751
0.00384,-1.9486,0.99148,-0.0,1.0,1.4407,1.4391,-0.00541,-0.05416,897.68787,667.12219
0.27941,-2.00928,0.99038,0.0,1.0,1.4353,1.43209,-0.01103,0.08031,2453.643,2211.35767
0.3288,-2.76346,0.99088,0.0,1.0,1.428,1.42407,-0.00711,-0.23629,2659.4714,2927.16943
0.68125,-0.13518,0.99148,-0.0,1.0,1.4252,1.42634,-0.00871,-0.08858,4361.9326,4348.51904
0.22235,-3.44719,0.98968,0.0,1.0,1.4239,1.42098,-0.01386,0.01481,2638.647,2881.66138
0.53099,-1.27563,0.99178,0.0,1.0,1.4207,1.42068,-0.00417,-0.10769,2669.727,2739.81226
0.20504,-2.2676,0.99158,-0.0,1.0,1.4208,1.41971,-0.00324,0.07472,1072.4343,828.00018
0.64754,-0.58215,0.98908,0.0,1.0,1.4208,1.42136,-0.0076,0.06266,3774.6836,3533.84399
-0.71482,-5.20301,0.98998,0.0,1.0,1.4174,1.41412,-0.02635,-0.00236,17454.01,17165.80469
0.32331,-1.8936,0.99128,-0.0,1.0,1.4121,1.4103,-0.01044,0.04934,1048.3455,1016.45685
-0.27468,-4.62175,0.99178,0.0,1.0,1.4069,1.40477,-0.0169,0.12463,8792.868,10530.62793
0.6106,-0.89051,0.99198,0.0,1.0,1.4026,1.40042,-0.00302,-0.0405,2865.7854,2895.42676
0.00854,-2.1522,0.99108,-0.0,1.0,1.3975,1.39486,-0.00566,-0.07613,1464.0083,1729.20203
0.71889,-0.35025,0.99118,-0.0,1.0,1.3959,1.3956,-0.01084,-0.06057,3984.6577,4034.18701
0.54381,-1.12688,0.98908,-0.0,1.0,1.3923,1.38987,-0.00556,-0.03212,1979.9502,2009.70972
0.7285,-0.52814,0.99208,0.0,1.0,1.387,1.38471,-0.00175,-0.04073,3744.0474,3820.78296
0.49748,-1.54316,0.99138,0.0,1.0,1.3808,1.37774,-0.00452,-0.01665,2245.7668,2215.36426
0.65688,-0.65677,0.99058,0.0,1.0,1.3769,1.37652,-0.00334,0.09301,2909.7876,2730.72266
0.26255,-4.35787,0.99068,0.0,1.0,1.3751,1.3751,-0.01099,-0.21115,2988.0176,2880.03198
-0.16414,-3.62874,0.99198,0.0,1.0,1.3715,1.36791,-0.00429,0.03843,4223.018,4423.63721
-0.0409,-4.40873,0.98755,0.0,1.0,1.3646,1.36232,-0.00841,-0.07945,2667.4827,2267.66626
0.53202,-1.20349,0.99148,0.0,1.0,1.3643,1.36527,-0.01025,-0.0878,2376.6526,2507.427
-0.14957,-3.35052,0.99198,0.0,1.0,1.3661,1.36697,-0.00843,0.01496,2479.8699,2655.26221
0.86168,0.03535,0.99128,-0.0,1.0,1.3668,1.36604,-0.00178,-0.00586,5266.2837,5190.83496
0.62875,-0.41282,0.99178,0.0,1.0,1.3641,1.36275,-0.00356,-0.12795,2671.1907,2819.8208
0.43678,-2.77647,0.99208,-0.0,1.0,1.3592,1.35597,-0.00667,-0.04681,2204.554,2263.6875
0.83362,-0.41998,0.99198,-0.0,1.0,1.355,1.35428,-0.00635,-0.07895,4760.253,4946.7085
0.60866,-1.09948,0.99198,0.0,1.0,1.3525,1.34985,-0.0053,0.07171,2576.5613,2347.98267
0.71211,-0.52343,0.99148,0.0,1.0,1.3489,1.34796,-0.00294,-0.18638,3275.1597,3480.67773
-1.00093,-5.88636,0.98978,-0.0,1.0,1.3449,1.34211,-0.00341,0.03342,26447.307,29073.06445
-0.34181,-4.28238,0.98928,0.0,1.0,1.3379,1.33424,-0.0194,-0.17904,4979.8203,3828.02002
-0.01718,-3.65855,0.99198,0.0,1.0,1.3341,1.33461,-0.00673,-0.1348,1691.6936,1487.68188
0.57594,-0.66708,0.99038,0.0,1.0,1.3353,1.33529,-0.00439,0.02574,2785.9773,2683.36011
-0.24018,-4.87792,0.99038,-0.0,1.0,1.3317,1.32853,-0.01164,-0.15179,6477.7134,6291.17139
0.4008,-1.48971,0.99168,-0.0,1.0,1.3255,1.32331,-0.01757,0.05903,1985.7244,1864.41003
-0.24762,-2.77361,0.99168,0.0,1.0,1.321,1.31992,-0.01488,-0.03053,2690.7703,2727.12036
0.24114,-3.02621,0.99168,-0.0,1.0,1.3169,1.31515,-0.01869,0.02169,1475.5853,1715.57397
0.77066,-0.4406,0.98988,0.0,1.0,1.3132,1.3112,-0.0072,-0.16299,3868.0825,4163.8457
0.12494,-4.05705,0.99158,-0.0,1.0,1.312,1.31183,-0.00373,-0.08456,4436.4897,4010.30566
-0.06812,-2.47393,0.98168,0.0,1.0,1.3082,1.30466,-0.00352,-0.21335,563.67664,454.11777
0.83541,0.09196,0.99208,0.0,1.0,1.3066,1.30837,-0.01127,-0.12605,4745.6934,4886.51025
0.43108,-2.06076,0.98998,0.0,1.0,1.3107,1.31174,-0.00368,-0.07674,2939.5212,3155.87134
0.73779,-0.76366,0.99158,-0.0,1.0,1.3101,1.30874,-0.00406,0.01393,3478.993,3367.35303
-0.90562,-4.63758,0.99118,-0.0,1.0,1.3055,1.30369,-0.01653,0.0182,12195.567,11875.65527
0.35215,-2.3658,0.98948,-0.0,1.0,1.3006,1.29723,-0.0115,-0.0722,1134.9032,1197.82727
0.62051,-1.29625,0.99108,0.0,1.0,1.2938,1.29031,-0.00807,-0.06989,2465.153,2505.0752
0.31162,-1.52847,0.99078,0.0,1.0,1.287,1.28459,-0.01137,0.06818,1663.2168,1609.15979
-0.09089,-2.18256,0.99208,0.0,1.0,1.2831,1.28226,-0.00645,0.03491,1710.6848,1904.41357
0.62349,-0.52328,0.99218,0.0,1.0,1.2817,1.28129,-0.00458,-0.08283,2138.679,2203.41064
-0.44266,-4.02182,0.99178,-0.0,1.0,1.2781,1.27492,-0.00756,0.0787,7526.3687,8149.59277
0.70944,-0.86954,0.99198,-0.0,1.0,1.2766,1.27708,-0.00478,-0.07528,3047.804,3093.02832
0.13733,-3.14533,0.99178,-0.0,1.0,1.2778,1.2775,-0.0086,-0.00512,1830.3899,1799.25952
0.70342,-0.77705,0.99198,-0.0,1.0,1.2771,1.27757,-0.00465,0.07659,2566.11,2337.00757
-0.10011,-2.23556,0.99108,0.0,1.0,1.2743,1.27107,-0.00768,-0.01089,1611.3021,1557.18481
0.25814,-1.68509,0.99188,0.0,1.0,1.269,1.26823,-0.00837,-0.06896,643.37494,602.84393
-0.06166,-3.08648,0.99068,-0.0,1.0,1.2651,1.26234,-0.01505,-0.03387,1550.0768,1467.8418
0.70853,-0.05863,0.99198,-0.0,1.0,1.2636,1.2643,-0.00554,0.05206,2842.6958,2754.24609
0.62086,-0.60557,0.99058,-0.0,1.0,1.2624,1.262,-0.00411,-0.13908,2041.6195,2211.21338
-0.83337,-5.3779,0.99158,-0.0,1.0,1.2607,1.26027,-0.01156,0.05463,21077.566,22237.5293
0.59378,-0.58253,0.98938,0.0,1.0,1.2595,1.25751,-0.00487,-0.02198,1748.0676,1675.05591
0.10607,-1.81875,0.99198,0.0,1.0,1.2541,1.25162,-0.01402,-0.03632,1355.618,1182.5127
0.65231,-1.66715,0.99058,-0.0,1.0,1.2479,1.24439,-0.00281,0.01825,2298.3484,2205.72046
-0.06697,-5.82132,0.99208,-0.0,1.0,1.2424,1.24257,-0.02146,-0.01529,6312.0522,5220.49023
0.01001,-2.40576,0.99148,-0.0,1.0,1.2384,1.23449,-0.00673,-0.08989,673.25934,480.9556
0.33036,-1.13835,0.99208,0.0,1.0,1.2352,1.23566,-0.00192,-0.26518,749.593,925.18829
0.71058,0.03531,0.98718,0.0,1.0,1.2353,1.23452,-0.00891,0.0228,2264.9934,2124.51855
-1.32646,-4.93075,0.99008,-0.0,1.0,1.2322,1.2305,-0.0322,0.05935,30414.475,32450.24805
-0.15796,-3.19885,0.98798,0.0,1.0,1.2291,1.22804,-0.01225,0.0524,3967.2756,4069.17871
-0.27202,-4.40734,0.99188,-0.0,1.0,1.2246,1.22122,-0.01284,-0.06935,7718.15,7073.89111
-0.39637,-4.26853,0.99048,-0.0,1.0,1.218,1.21548,-0.02841,0.06653,7769.9014,9059.19434
