Average Reward,Reward Min,Reward Max,Advantage Mean,Advantage Std,Entropy Loss,Policy Loss,Value Loss,,,,,,,,,,,Experiment,Measurement,Replication,Module,Module Display Path,Name,Count,Mean,StdDev
-5.2202,-14.3832,0.9797,0,1,0.7258,0.0071,4141.7686,~?6?220.16,,,,,,,,,,PPOTraining,,#0,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?019.1
-5.0657,-11.5514,0.9736,0,1,0.7258,0.1029,5382.3501,~?6?065.73,,,,,,,,,,PPOTraining,,#1,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?238.03
-7.4334,-14.4022,0.9626,0,1,0.7258,0.8303,25334.1816,~?8?433.39,,,,,,,,,,PPOTraining,,#2,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?067.15
-6.6721,-11.6462,0.9584,0,1,0.7258,0.0042,1930.1228,~?7?672.06,,,,,,,,,,PPOTraining,,#3,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?230.23
-6.1428,-11.8416,0.9895,0,1,0.7258,0,1056.1995,~?7?142.77,,,,,,,,,,PPOTraining,,#4,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?776.88
-6.5829,-15.1993,0.9643,0,1,0.7258,0,1031.7966,~?7?582.95,,,,,,,,,,PPOTraining,,#5,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?599.06
-8.0688,-16.2113,0.962,0,1,0.7258,0.7958,21760.3496,~?9?068.76,,,,,,,,,,PPOTraining,,#6,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?553.39
-5.2766,-12.0609,0.9785,0,1,0.7258,0,857.9601,~?6?276.56,,,,,,,,,,PPOTraining,,#7,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?330.47
-4.8721,-10.545,0.9685,0,1,0.7258,0,3631.8755,~?5?872.06,,,,,,,,,,PPOTraining,,#8,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?590.2
-5.2483,-11.0945,0.9798,0,1,0.7258,0,3839.4119,~?6?248.34,,,,,,,,,,PPOTraining,,#9,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?360.4
-5.1497,-11.2183,0.9445,0,1,0.7258,0,2527.0999,~?6?149.72,,,,,,,,,,PPOTraining,,#10,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?322.4
-3.8283,-12.1414,0.9871,0,1,0.7258,1.1582,4398.042,~?4?828.26,,,,,,,,,,PPOTraining,,#11,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?998.55
-6.7727,-12.826,0.9913,0,1,0.7258,0,3603.2585,~?7?772.7,,,,,,,,,,PPOTraining,,#12,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?648.52
-4.9117,-10.7308,0.9812,0,1,0.7258,0.3926,1334.5229,~?5?911.72,,,,,,,,,,PPOTraining,,#13,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?743.21
-5.5108,-10.3044,0.9808,0,1,0.7258,0,2219.5986,~?6?510.77,,,,,,,,,,PPOTraining,,#14,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?648.06
-5.5276,-10.6767,0.9776,0,1,0.7258,0.4122,2445.4624,~?6?527.61,,,,,,,,,,PPOTraining,,#15,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?299.06
-6.3728,-12.1532,0.9476,0,1,0.7258,0.8495,5867.2417,~?7?372.78,,,,,,,,,,PPOTraining,,#16,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?212.39
-5.2278,-10.346,0.9581,0,1,0.7258,0,5434.2852,~?6?227.8,,,,,,,,,,PPOTraining,,#17,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?084.73
-4.9582,-10.0358,0.9814,0,1,0.7258,0,4143.5918,~?5?958.21,,,,,,,,,,PPOTraining,,#18,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?331.05
-4.0672,-8.7061,0.9665,0,1,0.7258,0.0081,2549.5425,~?5?067.24,,,,,,,,,,PPOTraining,,#19,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?829.97
-5.1297,-9.5793,0.9737,0,1,0.7258,0.2887,1868.5117,~?6?129.75,,,,,,,,,,PPOTraining,,#20,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?386.08
-5.7581,-14.5473,0.9829,0,1,0.7258,0.0796,3214.979,~?6?758.1,,,,,,,,,,PPOTraining,,#21,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?245.55
-6.405,-11.1983,0.9532,0,1,0.7258,0.0264,3234.0059,~?7?405.03,,,,,,,,,,PPOTraining,,#22,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?236.35
-5.3036,-10.375,0.9696,0,1,0.7258,0.6281,2945.8921,~?6?303.56,,,,,,,,,,PPOTraining,,#23,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?324.34
-5.0643,-9.9708,0.974,0,1,0.7258,0.767,3315.6011,~?6?064.26,,,,,,,,,,PPOTraining,,#24,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?111.26
-5.4492,-10.8475,0.975,0,1,0.7258,0,3320.0947,~?6?449.16,,,,,,,,,,PPOTraining,,#25,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?256.45
-4.3404,-8.4999,0.9835,0,1,0.7258,0.0156,868.7857,~?5?340.36,,,,,,,,,,PPOTraining,,#26,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?777.72
-6.3263,-14.4604,0.9682,0,1,0.7258,1.2898,8318.8848,~?7?326.34,,,,,,,,,,PPOTraining,,#27,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?737.26
-6.7506,-10.0927,0.9726,0,1,0.7258,0,7031.1299,~?7?750.62,,,,,,,,,,PPOTraining,,#28,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?308.34
-4.8188,-9.0559,0.9732,0,1,0.7258,0,2746.0662,~?5?818.8,,,,,,,,,,PPOTraining,,#29,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?755.53
-6.5083,-10.6421,0.9636,0,1,0.7258,0.4068,1923.1906,~?7?508.32,,,,,,,,,,PPOTraining,,#30,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?348.59
-7.1126,-18.0082,0.9734,0,1,0.7258,0,2732.2698,~?8?112.61,,,,,,,,,,PPOTraining,,#31,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?617.15
-5.4528,-10.1233,0.9688,0,1,0.7258,0.0331,1511.3171,~?6?452.82,,,,,,,,,,PPOTraining,,#32,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?978.24
-4.1074,-10.1028,0.97,0,1,0.7258,0,2931.6743,~?5?107.4,,,,,,,,,,PPOTraining,,#33,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?873.51
-4.2713,-10.421,0.9843,0,1,0.7258,0.034,945.8428,~?5?271.34,,,,,,,,,,PPOTraining,,#34,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?118.82
-4.8625,-10.5569,0.972,0,1,0.7258,0.4847,2386.9492,~?5?862.47,,,,,,,,,,PPOTraining,,#35,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?065.42
-4.5485,-8.7961,0.983,0,1,0.7258,0.0038,1209.4281,~?5?548.5,,,,,,,,,,PPOTraining,,#36,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?987.74
-6.0405,-12.5645,0.9526,0,1,0.7258,0,5187.4932,~?7?040.47,,,,,,,,,,PPOTraining,,#37,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?160.47
-4.7199,-10.5398,0.9818,0,1,0.7258,0,1781.2518,~?5?719.93,,,,,,,,,,PPOTraining,,#38,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?351.46
-4.6867,-10.7369,0.9672,0,1,0.7258,0.0915,1146.8956,~?5?686.69,,,,,,,,,,PPOTraining,,#39,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?555.17
-4.305,-11.2549,0.9735,0,1,0.7258,0.5464,1937.3824,~?5?305.04,,,,,,,,,,PPOTraining,,#40,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?952.89
-3.3056,-6.8926,0.9666,0,1,0.7258,0.2499,1135.5798,~?4?305.59,,,,,,,,,,PPOTraining,,#41,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?543.1
-6.6809,-12.2003,0.9804,0,1,0.7258,0,1685.082,~?7?680.86,,,,,,,,,,PPOTraining,,#42,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?851.74
-4.7751,-11.6654,0.9651,0,1,0.7258,0.0265,1843.6881,~?5?775.08,,,,,,,,,,PPOTraining,,#43,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?323.79
-3.7418,-7.5825,0.9772,0,1,0.7258,0,2275.9504,~?4?741.84,,,,,,,,,,PPOTraining,,#44,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?550.8
-4.0836,-10.726,0.9732,0,1,0.7258,0,2499.9685,~?5?083.61,,,,,,,,,,PPOTraining,,#45,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?009.65
-4.43,-8.8087,0.972,0,1,0.7258,0.279,818.4035,~?5?429.99,,,,,,,,,,PPOTraining,,#46,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?837.69
-2.9829,-7.0019,0.9877,0,1,0.7258,0.0348,668.4608,~?3?982.91,,,,,,,,,,PPOTraining,,#47,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?192.46
-3.4576,-10.7984,0.9605,0,1,0.7258,0.0279,516.481,~?4?457.64,,,,,,,,,,PPOTraining,,#48,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?885.88
-4.9902,-10.8135,0.9741,0,1,0.7258,0.0035,1749.1948,~?5?990.17,,,,,,,,,,PPOTraining,,#49,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?409.46
-3.3963,-7.6845,0.9693,0,1,0.7258,0.0651,552.1755,~?4?396.25,,,,,,,,,,PPOTraining,,#50,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?802.66
-3.8581,-7.9551,0.9636,0,1,0.7258,0,1235.9294,~?4?858.07,,,,,,,,,,PPOTraining,,#51,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?735.83
-2.6003,-6.7795,0.977,0,1,0.7258,0.8703,1569.4587,~?3?600.28,,,,,,,,,,PPOTraining,,#52,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?243.15
-5.32,-10.6581,0.9367,0,1,0.7258,0.0085,1010.4951,~?6?320.03,,,,,,,,,,PPOTraining,,#53,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?549.78
-2.8088,-7.5898,0.9761,0,1,0.7258,0.0175,941.9294,~?3?808.8,,,,,,,,,,PPOTraining,,#54,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?416.67
-3.5109,-11.0003,0.9744,0,1,0.7258,0.129,1053.2753,~?4?510.85,,,,,,,,,,PPOTraining,,#55,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?472.89
-4.1876,-8.74,0.9863,0,1,0.7258,0.3913,836.27,~?5?187.62,,,,,,,,,,PPOTraining,,#56,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?490.9
-3.6111,-9.6387,0.979,0,1,0.7258,0.0074,1054.7578,~?4?611.1,,,,,,,,,,PPOTraining,,#57,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?357.11
-4.3215,-9.9846,0.9746,0,1,0.7258,0,1486.9694,~?5?321.55,,,,,,,,,,PPOTraining,,#58,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?858.32
-4.6532,-12.2876,0.9538,0,1,0.7258,0.0088,879.5923,~?5?653.24,,,,,,,,,,PPOTraining,,#59,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?308.21
-3.3363,-7.5728,0.9758,0,1,0.7258,0.6294,728.6437,~?4?336.3,,,,,,,,,,PPOTraining,,#60,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?311.33
-3.5744,-8.9069,0.9601,0,1,0.7258,0.2559,924.3983,~?4?574.44,,,,,,,,,,PPOTraining,,#61,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?482.03
-2.977,-8.0261,0.9785,0,1,0.7258,0.533,407.3987,~?3?976.98,,,,,,,,,,PPOTraining,,#62,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?213.28
-3.5745,-8.5497,0.9602,0,1,0.7258,0.4597,751.0614,~?4?574.47,,,,,,,,,,PPOTraining,,#63,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?300.34
